"";"Y";"X11";"X12";"X13";"X14";"X15";"X21";"X22";"X23";"X24";"X25";"X31";"X32";"X33";"X34";"X35";"Z1";"Z2";"Z3"
"1";0;-1,34259964659337;0,515470414412774;-1,48274050801537;0,992338605579607;0,938535382405099;-2,30581699223194;-0,0193317620476868;-2,73612963911874;0,942508236421637;0,279346521752614;-2,30876848576626;-0,0370152088552497;-3,27337173762561;0,846644123513312;0,293929410340057;1;0;1
"2";0;-1,25625378611663;-1,24969676083241;0,33335910338834;0,074481152446296;-0,279726511703622;-2,48182232593395;-2,33847549165236;-0,236844465095933;-0,505176384666761;-1,06838598395104;-2,50234323994203;-2,53565623253775;0,0110307812771526;-0,192227225569728;-1,04075289336982;1;0;0
"3";0;-0,646695331102133;0,151965586582258;-0,1026971793814;0,10026883427151;1,17785985376975;-1,05316699837175;-0,411412416063984;-1,11244869775907;-1,2866814480651;0,750188682047232;0,149027759752449;0,324719955309244;-1,06500071744462;-1,30464996862141;1,63395424339021;1;0;0
"4";0;-0,672007937701087;-0,996214773847437;-0,748036532081022;-0,544836029736118;-0,852705907537563;-0,82331392198638;-1,24618900290383;-0,489002933783364;-0,35464134017382;-0,701256364427083;-1,20810621708787;-1,66981944785352;-0,587388306310427;-0,362226442904762;-0,577840119738121;0;0;0
"5";0;0,666421716142206;1,62362826261864;1,54187635543782;0,78070257599016;0,153956706013942;0,676285017081182;1,62747176930428;1,47131332219677;-0,063059124308271;-0,376547512747609;0,383415084704082;1,4675156425046;1,08491273623881;-1,47546744140863;-0,448680594526673;1;1;1
"6";0;-1,4400635739907;-1,04168494238329;-1,22322575905681;-0,242180672158181;1,49897245904079;-1,43073147184739;-0,955791606340046;-1,60103166534671;-0,471765495782727;1,70610616456636;-1,86981220349776;-1,07028835937761;-1,71520229873758;-0,862357421877211;1,95221594097497;0;0;0
"7";1;-1,62416910574928;-1,43468253713463;-0,621955739268258;-0,734154153764202;-0,897297707308685;-0,892811919413458;-1,24580339997053;-0,581397015025688;-0,865550368432725;-1,41936143572239;-0,568326317691505;-0,748828198007686;-0,608922627357151;-1,24516756242632;-1,76182130797238;0;0;0
"8";0;-1,06086643802013;0,574110680831748;-0,0237698042879284;-1,51112091616488;-0,446964350873475;-1,11841301896184;0,831554682090355;-0,382256167016802;-1,01100343738076;-0,542529770880148;-1,0705336230489;0,568608417736423;0,340798181037686;-0,556062074734538;0,0877508623288183;0;0;1
"9";0;0,0489567741229281;0,654365070397347;-1,30897697616172;1,43140572429449;-1,4398099258575;0,344468334781783;0,525583767205143;-1,05750175826462;1,48528483424371;-1,94526484653985;0,18866449399631;0,470561610502247;-0,93470212234736;2,14457882973579;-2,32788694777561;0;0;0
"10";0;-0,358519354107924;-1,07504714883691;-1,0364655806713;-0,95800452545837;-0,842774130585064;-0,388885382720598;-0,59688056840965;-0,538994671617736;-0,781555356765178;-0,173768701641932;-0,823442748602885;-0,680141756025779;-0,331770972693413;-1,22345190941901;0,222241992592614;0;0;1
"11";0;-1,07379090103946;-1,22438647813443;-1,62892467568357;-0,654867077284761;-2,29631235956333;-1,24666316923982;-1,46578823402766;-1,28033461060661;-0,89878523648168;-1,88987637918539;-1,26388717135615;-1,59255384023574;-1,18743306543536;-1,47542961874812;-1,76798354892243;0;0;0
"12";0;0,403594835044762;-0,768794293893362;-1,28005743292777;-0,970337902616177;-1,74511051984645;0,921350291092268;-1,08523580863693;-1,15350920847274;-0,827614853057995;-1,75951829341758;1,62516888853431;-1,06315172938686;-1,57821112218124;-0,912186272013476;-1,6016484171105;0;0;0
"13";0;-1,5562729102546;0,41897137850492;-0,268005800567425;-0,705665838827281;1,75722005211292;-0,989329005021402;0,638906304005457;0,415772733304894;-0,447735761531271;1,87322756572676;-0,0668558539990844;0,448824172297013;0,749000039905698;-0,463983069430848;1,96105011559651;0;0;0
"14";1;0,518008483807367;1,14754918468308;1,31072309584673;-0,0238719821595981;-0,0626368428310149;0,461878959248997;0,855295517691143;1,797141012259;0,178238399685963;0,626302419492256;0,841771876195667;0,693596011242889;2,16871798318325;0,2436208457873;1,23608439866136;0;0;0
"15";0;1,10047118763154;2,22247257584836;1,40517694324246;1,716567658543;0,797719836379367;0,4587301392164;1,44798575869717;0,0595258192239378;0,597673734471311;-0,459772628847533;-0,654840643121602;0,597509787057952;-0,557038736360052;-0,221614742889479;-1,80206072075461;1;1;0
"16";0;1,81630428587796;-1,04045243734158;0,152729312933613;-0,244232546743254;0,794281947664347;1,03445912891678;-1,77019965171899;-0,350822937744615;-0,685542648203408;0,132523419194558;0,36879112548807;-2,832854389078;-1,31936985049947;-1,60373469546292;-0,963214206065313;1;1;0
"17";0;0,0630587070688207;0,427750197463172;1,31379646388213;0,115069031712978;-0,806005771984426;-0,0340480617669984;0,577356170496817;1,72501524489227;0,0497829060561865;-0,771873988772504;-0,517179248070339;0,65453635048499;1,57411245323427;-0,240358664047757;-0,808603992912053;0;0;0
"18";0;0,508834721313775;-1,11784493831617;-1,36106626228149;-0,795061699299608;-1,13226863936089;0,689699605685258;-1,06475927737994;-1,72335897782066;-1,00150053041997;-1,08478210128606;1,3054685261985;-0,439148845343025;-2,03114760071169;-0,867728824240185;-0,823347670610894;0;0;0
